"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","PID","REACTOME","VALIDATION","DIANA","MIRANDA","MIRBRIDGE","PICTAR","PITA","RNA22","TARGETSCAN","TOTAL_HIT"
"ACVR2A","activin A receptor, type IIA","2","0","1","5","","V","V","","","V","","","3"
"AGAP3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3","0","0","0","0","","V","V","","","V","","","3"
"AGGF1","angiogenic factor with G patch and FHA domains 1","0","0","0","0","","V","V","","","V","","","3"
"AIF1L","allograft inflammatory factor 1-like","0","0","0","0","","V","V","","","V","","","3"
"AKT3","v-akt murine thymoma viral oncogene homolog 3","34","0","2","33","","V","V","","","V","","","3"
"ARHGAP5","Rho GTPase activating protein 5","2","4","2","3","","V","V","","","V","","","3"
"ARL8B","ADP-ribosylation factor-like 8B","0","0","0","0","","V","V","","","V","","","3"
"ASXL1","additional sex combs like 1 (Drosophila)","0","0","0","0","","V","V","","","V","","","3"
"ATG5","autophagy related 5","3","0","0","4","","V","V","","","V","","","3"
"ATXN1","ataxin 1","0","0","0","0","","V","V","","","V","","","3"
"AUTS2","autism susceptibility candidate 2","0","0","0","0","","V","V","","","V","","","3"
"BCL11B","B-cell CLL/lymphoma 11B (zinc finger protein)","0","0","0","0","","V","V","","","V","","","3"
"BRCA1","breast cancer 1, early onset","1","4","10","11","","V","V","","","V","","","3"
"BTBD3","BTB (POZ) domain containing 3","0","0","0","0","","V","V","","","V","","","3"
"BTRC","beta-transducin repeat containing E3 ubiquitin protein ligase","6","2","0","19","","V","V","","","V","","","3"
"C15ORF21","","0","0","0","0","","V","V","","","V","","","3"
"C15ORF41","chromosome 15 open reading frame 41","0","0","0","0","","V","V","","","V","","","3"
"C20ORF103","","0","0","0","0","","V","V","","","V","","","3"
"CADPS","Ca++-dependent secretion activator","0","0","0","0","","V","V","","","V","","","3"
"CALD1","caldesmon 1","1","0","0","2","","V","V","","","V","","","3"
"CBLL1","Cbl proto-oncogene-like 1, E3 ubiquitin protein ligase","0","0","1","0","","V","V","","","V","","","3"
"CCBL2","cysteine conjugate-beta lyase 2","2","0","0","3","","V","V","","","V","","","3"
"CD28","CD28 molecule","9","8","3","11","","V","V","","","V","","","3"
"CD44","CD44 molecule (Indian blood group)","3","1","2","6","","V","V","","","V","","","3"
"CDH11","cadherin 11, type 2, OB-cadherin (osteoblast)","0","0","0","4","","V","V","","","V","","","3"
"CEP350","centrosomal protein 350kDa","0","0","0","0","","V","V","","","V","","","3"
"CEP55","centrosomal protein 55kDa","0","0","0","0","","V","V","","","V","","","3"
"CHRM3","cholinergic receptor, muscarinic 3","6","0","0","12","","V","V","","","V","","","3"
"CLCN5","chloride channel, voltage-sensitive 5","0","0","0","0","","V","V","","","V","","","3"
"CLIC4","chloride intracellular channel 4","0","0","0","0","","V","V","","","V","","","3"
"CNTNAP1","contactin associated protein 1","1","0","0","4","","V","V","","","V","","","3"
"COPS7B","COP9 signalosome subunit 7B","0","0","0","0","","V","V","","","V","","","3"
"CPEB2","cytoplasmic polyadenylation element binding protein 2","0","0","0","0","","V","V","","","V","","","3"
"CS","citrate synthase","3","1","0","4","","V","V","","","V","","","3"
"CSDC2","cold shock domain containing C2, RNA binding","0","0","0","0","","V","V","","","V","","","3"
"CSNK1G1","casein kinase 1, gamma 1","1","0","4","0","","V","V","","","V","","","3"
"CTR9","CTR9, Paf1/RNA polymerase II complex component","0","0","0","0","","V","V","","","V","","","3"
"DAZL","deleted in azoospermia-like","0","0","0","0","","V","V","","","V","","","3"
"DLX2","distal-less homeobox 2","0","0","0","0","","V","V","","","V","","","3"
"EIF1AD","eukaryotic translation initiation factor 1A domain containing","0","0","0","0","","V","V","","","V","","","3"
"EIF1B","eukaryotic translation initiation factor 1B","1","0","0","0","","V","V","","","V","","","3"
"ERMN","ermin, ERM-like protein","0","0","0","0","","V","V","","","V","","","3"
"ESRRG","estrogen-related receptor gamma","0","0","0","3","","V","V","","","V","","","3"
"FAM102B","family with sequence similarity 102, member B","0","0","0","0","","V","V","","","V","","","3"
"FAM108B1","","0","0","0","0","","V","V","","","V","","","3"
"FAM175A","family with sequence similarity 175, member A","0","0","1","0","","V","V","","","V","","","3"
"FBN2","fibrillin 2","0","0","0","0","","V","V","","","V","","","3"
"FBRS","fibrosin","0","0","0","0","","V","V","","","V","","","3"
"FBXO28","F-box protein 28","0","0","0","0","","V","V","","","V","","","3"
"FGF5","fibroblast growth factor 5","4","0","0","20","","V","V","","","V","","","3"
"FLJ37543","","0","0","0","0","","V","V","","","V","","","3"
"FZD3","frizzled family receptor 3","4","0","0","4","","V","V","","","V","","","3"
"FZD9","frizzled family receptor 9","4","0","1","4","","V","V","","","V","","","3"
"GABRB3","gamma-aminobutyric acid (GABA) A receptor, beta 3","1","0","0","8","","V","V","","","V","","","3"
"GAD2","glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)","6","0","0","5","","V","V","","","V","","","3"
"GALNTL6","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6","2","0","0","0","","V","V","","","V","","","3"
"GNRHR","gonadotropin-releasing hormone receptor","2","0","0","7","","V","V","","","V","","","3"
"GPR6","G protein-coupled receptor 6","0","0","0","0","","V","V","","","V","","","3"
"HDHD2","haloacid dehalogenase-like hydrolase domain containing 2","0","0","0","0","","V","V","","","V","","","3"
"HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","0","0","0","0","","V","V","","","V","","","3"
"HSPB2","heat shock 27kDa protein 2","0","3","0","0","","V","V","","","V","","","3"
"JDP2","Jun dimerization protein 2","0","0","1","0","","V","V","","","V","","","3"
"JHDM1D","jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae)","0","0","0","0","","V","V","","","V","","","3"
"KIAA0753","KIAA0753","0","0","0","0","","V","V","","","V","","","3"
"KIAA1012","","0","0","0","0","","V","V","","","V","","","3"
"KLHL13","kelch-like family member 13","1","0","1","4","","V","V","","","V","","","3"
"LBX1","ladybird homeobox 1","0","0","0","0","","V","V","","","V","","","3"
"LETMD1","LETM1 domain containing 1","0","0","0","0","","V","V","","","V","","","3"
"LIN7C","lin-7 homolog C (C. elegans)","0","0","0","0","","V","V","","","V","","","3"
"LRP6","low density lipoprotein receptor-related protein 6","1","0","4","0","","V","V","","","V","","","3"
"MAP2K7","mitogen-activated protein kinase kinase 7","8","4","9","23","","V","V","","","V","","","3"
"MAPK10","mitogen-activated protein kinase 10","23","1","9","25","","V","V","","","V","","","3"
"MBOAT2","membrane bound O-acyltransferase domain containing 2","3","0","0","0","","V","V","","","V","","","3"
"MIB1","mindbomb E3 ubiquitin protein ligase 1","0","0","1","0","","V","V","","","V","","","3"
"MMP16","matrix metallopeptidase 16 (membrane-inserted)","0","0","0","0","","V","V","","","V","","","3"
"MTPN","myotrophin","0","0","0","0","","V","V","","","V","","","3"
"MXD1","MAX dimerization protein 1","0","0","2","0","","V","V","","","V","","","3"
"MYST2","","0","0","1","0","","V","V","","","V","","","3"
"NAV1","neuron navigator 1","0","0","0","0","","V","V","","","V","","","3"
"NCAM1","neural cell adhesion molecule 1","2","0","1","10","","V","V","","","V","","","3"
"NRIP1","nuclear receptor interacting protein 1","0","2","4","0","","V","V","","","V","","","3"
"NUFIP2","nuclear fragile X mental retardation protein interacting protein 2","0","0","0","0","","V","V","","","V","","","3"
"OSBPL8","oxysterol binding protein-like 8","0","0","0","0","","V","V","","","V","","","3"
"OXSR1","oxidative stress responsive 1","0","0","0","0","","V","V","","","V","","","3"
"PAPD4","PAP associated domain containing 4","0","0","0","0","","V","V","","","V","","","3"
"PCDH17","protocadherin 17","0","0","0","0","","V","V","","","V","","","3"
"PCLO","piccolo presynaptic cytomatrix protein","0","0","0","0","","V","V","","","V","","","3"
"PDE11A","phosphodiesterase 11A","1","0","0","8","","V","V","","","V","","","3"
"PLAG1","pleiomorphic adenoma gene 1","0","0","0","0","","V","V","","","V","","","3"
"PPM1B","protein phosphatase, Mg2+/Mn2+ dependent, 1B","1","0","0","0","","V","V","","","V","","","3"
"PPP1R2","protein phosphatase 1, regulatory (inhibitor) subunit 2","0","0","0","0","","V","V","","","V","","","3"
"RAG1","recombination activating gene 1","1","0","0","0","","V","V","","","V","","","3"
"RFX4","regulatory factor X, 4 (influences HLA class II expression)","0","0","0","0","","V","V","","","V","","","3"
"RSRC2","arginine/serine-rich coiled-coil 2","0","0","0","0","","V","V","","","V","","","3"
"SCOC","short coiled-coil protein","0","0","0","0","","V","V","","","V","","","3"
"SEMA6A","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A","1","0","0","4","","V","V","","","V","","","3"
"SENP2","SUMO1/sentrin/SMT3 specific peptidase 2","2","0","0","0","","V","V","","","V","","","3"
"SEPHS2","selenophosphate synthetase 2","2","0","0","0","","V","V","","","V","","","3"
